GIUSEPPE	M	1054
MARIA	F	997
ANDREA	M	839
MARCO	M	758
FRANCESCO	M	705
ALESSANDRO	M	661
GIOVANNI	M	613
ROBERTO	M	547
LUCA	M	542
ANTONIO	M	513
ANNA	F	512
PAOLO	M	510
FRANCESCA	F	505
DAVIDE	M	469
MARIO	M	468
MATTEO	M	461
LUIGI	M	438
GIULIA	F	431
FABIO	M	421
PAOLA	F	420
SALVATORE	M	409
STEFANO	M	400
ELENA	F	393
DANIELA	F	392
LORENZO	M	389
GIUSEPPINA	F	381
MASSIMO	M	371
LAURA	F	362
GIORGIO	M	359
ROSA	F	356
ANNA MARIA	F	353
ANGELA	F	352
SARA	F	351
CHIARA	F	347
RICCARDO	M	335
SILVIA	F	328
ALBERTO	M	324
FRANCO	M	323
SIMONE	M	321
VINCENZO	M	313
VALENTINA	F	309
CLAUDIO	M	308
CARLO	M	290
CARLA	F	287
ANGELO	M	286
GIOVANNA	F	283
MAURIZIO	M	281
MAURO	M	276
ELISA	F	275
CRISTINA	F	275
PATRIZIA	F	273
LUCIA	F	272
PIETRO	M	272
FEDERICO	M	269
MARTINA	F	269
SIMONA	F	268
ALESSIA	F	262
GABRIELE	M	258
DOMENICO	M	253
RITA	F	250
MICHELE	M	249
MONICA	F	248
SERGIO	M	245
SILVANA	F	244
DANIELE	M	243
BARBARA	F	242
BRUNO	M	239
TERESA	F	233
MATTIA	M	232
STEFANIA	F	231
CARMELA	F	227
GIORGIA	F	223
FEDERICA	F	221
FRANCA	F	215
ANTONELLA	F	208
ROBERTA	F	208
ENRICO	M	207
LUCIANO	M	201
GIANLUCA	M	200
CLAUDIA	F	199
ALESSANDRA	F	198
MARISA	F	187
ALICE	F	177
FABRIZIO	M	177
MARGHERITA	F	172
ROSANNA	F	171
ALESSIO	M	169
CATERINA	F	169
BRUNA	F	166
EDOARDO	M	165
PIERO	M	162
SOFIA	F	160
TOMMASO	M	160
GIUSEPPA	F	158
ILARIA	F	157
RENATO	M	156
MANUELA	F	155
LEONARDO	M	155
GRAZIELLA	F	155
AURORA	F	154
MARIA TERESA	F	153
TIZIANA	F	153
ELISABETTA	F	151
LUCIANA	F	151
GIANCARLO	M	151
VALERIA	F	149
FILIPPO	M	147
ANTONIETTA	F	146
DIEGO	M	146
CHRISTIAN	M	145
IRENE	F	143
GIACOMO	M	142
BEATRICE	F	141
CINZIA	F	141
NICOLO'	M	140
MARINA	F	140
GIANFRANCO	M	137
GABRIELLA	F	137
SABRINA	F	134
ELEONORA	F	132
MICHELA	F	132
ALDO	M	132
CONCETTA	F	132
SERENA	F	130
NADIA	F	129
PASQUALE	M	128
ARIANNA	F	126
REBECCA	F	125
MARTA	F	125
NICOLA	M	123
EMANUELE	M	123
VITTORIA	F	120
EMANUELA	F	120
MASSIMILIANO	M	116
PIERA	F	115
ADRIANA	F	114
MARIA LUISA	F	114
MARIA GRAZIA	F	110
SAMUELE	M	110
ANTONINO	M	110
LOREDANA	F	110
GIULIANA	F	108
LUIGINA	F	107
EMMA	F	102
VITTORIO	M	100
GUIDO	M	100
CARMELO	M	93
GIADA	F	92
GAIA	F	91
VINCENZA	F	91
FLAVIO	M	90
VERONICA	F	90
VALTER	M	89
NOEMI	F	89
JESSICA	F	89
LILIANA	F	88
MIRKO	M	87
ANNAMARIA	F	86
ANTONIA	F	86
DARIO	M	86
GIANNI	M	85
LUISA	F	85
RAFFAELE	M	84
JACOPO	M	84
RENATA	F	82
ISABELLA	F	82
CALOGERO	M	82
SONIA	F	81
MARIA ROSA	F	81
MATILDE	F	81
GIULIO	M	80
GRETA	F	80
MIRELLA	F	80
MOHAMED	M	80
OLGA	F	80
UMBERTO	M	79
GAETANO	M	79
RAFFAELLA	F	78
ADRIANO	M	77
ROCCO	M	77
RENZO	M	76
ENZO	M	76
VITO	M	75
ANNALISA	F	75
LUIGIA	F	73
CRISTIAN	M	72
IVANA	F	71
EZIO	M	70
ADELE	F	70
GRAZIA	F	70
CLARA	F	69
DANILO	M	69
ROSARIA	F	69
LIDIA	F	68
CECILIA	F	67
BIANCA	F	67
ELIO	M	67
IVAN	M	67
DONATO	M	66
EMILIA	F	66
ERIKA	F	66
ORNELLA	F	66
NICOLETTA	F	65
ROSARIO	M	65
ROSALIA	F	65
LETIZIA	F	63
CAMILLA	F	63
SILVIO	M	63
DONATELLA	F	63
DANIEL	M	62
MADDALENA	F	61
MARCELLO	M	61
MARIANNA	F	61
CARLOTTA	F	60
ELSA	F	60
DENIS	M	59
MANUEL	M	59
ASSUNTA	F	58
CARMINE	M	58
DOMENICA	F	58
ENRICA	F	58
FILOMENA	F	57
CESARE	M	57
MARA	F	56
ARMANDO	M	56
ALEX	M	55
VALERIO	M	55
MELISSA	F	54
LINA	F	54
MARINELLA	F	54
ELDA	F	53
OMAR	M	53
MARIA CRISTINA	F	53
CAROLINA	F	53
EUGENIO	M	52
PIERINA	F	52
MARILENA	F	52
GINEVRA	F	52
WALTER	M	51
GIULIANO	M	51
VIRGINIA	F	51
THOMAS	M	50
SUSANNA	F	50
IOLANDA	F	50
FATIMA	F	50
SILVANO	M	49
UGO	M	49
ELVIRA	F	49
ALFREDO	M	49
SANDRO	M	49
